"month","flat_type","block","street_name","storey_range","Floor_Range","floor_area_sqm","lease_commence_date","remaining_lease","Total_Months","resale_price","Flag_for_floor_range","Flag_for_total_months"
"2018-09","3 ROOM","189","BISHAN ST 13","01 TO 03","1","65","1988","68 years 09 months","816","340000","1","1"
"2018-09","3 ROOM","304","SHUNFU RD","04 TO 06","4","67","1985","65 years 06 months","780","410000","1","1"
"2018-09","3 ROOM","308","SHUNFU RD","04 TO 06","4","67","1984","65 years 03 months","780","355000","1","1"
"2018-09","3 ROOM","22","SIN MING RD","07 TO 09","7","68","1973","54 years 02 months","648","239000","2","0"
"2018-09","4 ROOM","149","BISHAN ST 11","07 TO 09","7","84","1987","67 years 04 months","804","455000","2","1"
"2018-09","4 ROOM","144","BISHAN ST 12","04 TO 06","4","103","1988","68 years 11 months","816","530888","1","1"
"2018-09","4 ROOM","115","BISHAN ST 12","01 TO 03","1","89","1986","66 years 05 months","792","480000","1","1"
"2018-09","4 ROOM","106","BISHAN ST 12","10 TO 12","10","84","1985","66 years 02 months","792","550000","2","1"
"2018-09","4 ROOM","112","BISHAN ST 12","01 TO 03","1","84","1985","65 years 09 months","780","470000","1","1"
"2018-09","4 ROOM","116","BISHAN ST 12","04 TO 06","4","89","1985","66 years 02 months","792","548000","1","1"
"2018-09","4 ROOM","106","BISHAN ST 12","07 TO 09","7","105","1985","66 years 02 months","792","668000","2","1"
"2018-09","4 ROOM","180","BISHAN ST 13","04 TO 06","4","88","1988","68 years 07 months","816","520000","1","1"
"2018-09","4 ROOM","254","BISHAN ST 22","19 TO 21","19","116","1992","72 years 11 months","864","655000","3","1"
"2018-09","4 ROOM","248","BISHAN ST 22","25 TO 27","25","114","1992","72 years 11 months","864","738000","3","1"
"2018-09","4 ROOM","204","BISHAN ST 23","01 TO 03","1","112","1992","72 years 08 months","864","575000","1","1"
"2018-09","4 ROOM","228","BISHAN ST 23","04 TO 06","4","105","1992","72 years 07 months","864","558000","1","1"
"2018-09","4 ROOM","273A","BISHAN ST 24","04 TO 06","4","95","2011","92 years","1104","735000","1","1"
"2018-09","4 ROOM","273A","BISHAN ST 24","31 TO 33","31","95","2011","92 years","1104","830000","3","1"
"2018-09","4 ROOM","267","BISHAN ST 24","04 TO 06","4","104","1992","72 years 11 months","864","570000","1","1"
"2018-09","4 ROOM","273A","BISHAN ST 24","19 TO 21","19","95","2011","91 years 11 months","1092","810000","3","1"
"2018-09","4 ROOM","271","BISHAN ST 24","01 TO 03","1","104","1992","72 years 11 months","864","580000","1","1"
"2018-09","4 ROOM","445","SIN MING AVE","07 TO 09","7","105","1990","70 years 05 months","840","575000","2","1"
"2018-09","4 ROOM","406","SIN MING AVE","07 TO 09","7","84","1987","67 years 07 months","804","483000","2","1"
"2018-09","5 ROOM","127","BISHAN ST 12","04 TO 06","4","133","1986","67 years 03 months","804","735000","1","1"
"2018-09","5 ROOM","103","BISHAN ST 12","07 TO 09","7","121","1986","67 years 02 months","804","730000","2","1"
"2018-09","5 ROOM","166","BISHAN ST 13","07 TO 09","7","122","1987","68 years 04 months","816","725000","2","1"
"2018-09","5 ROOM","158","BISHAN ST 13","19 TO 21","19","121","1988","68 years 06 months","816","728000","3","1"
"2018-09","5 ROOM","167","BISHAN ST 13","01 TO 03","1","122","1988","69 years","828","630000","1","1"
"2018-09","5 ROOM","179","BISHAN ST 13","07 TO 09","7","121","1987","67 years 11 months","804","760000","2","1"
"2018-09","5 ROOM","165","BISHAN ST 13","13 TO 15","13","121","1988","69 years","828","778000","3","1"
"2018-09","5 ROOM","203","BISHAN ST 23","10 TO 12","10","132","1992","72 years 08 months","864","850000","2","1"
"2018-09","5 ROOM","223","BISHAN ST 23","01 TO 03","1","121","1992","72 years 11 months","864","818000","1","1"
"2018-09","5 ROOM","273B","BISHAN ST 24","28 TO 30","28","120","2011","92 years","1104","1080000","3","1"
"2018-09","5 ROOM","273B","BISHAN ST 24","16 TO 18","16","120","2011","91 years 11 months","1092","990000","3","1"
"2018-09","5 ROOM","275A","BISHAN ST 24","22 TO 24","22","120","2011","91 years 11 months","1092","1000000","3","1"
"2018-09","5 ROOM","312","SHUNFU RD","04 TO 06","4","121","1985","65 years 10 months","780","750000","1","1"
"2018-09","5 ROOM","310","SHUNFU RD","10 TO 12","10","121","1984","65 years 03 months","780","711000","2","1"
"2018-09","5 ROOM","310","SHUNFU RD","01 TO 03","1","121","1984","65 years 03 months","780","708000","1","1"
"2018-09","5 ROOM","442","SIN MING AVE","16 TO 18","16","120","1990","70 years 06 months","840","730000","3","1"
"2018-09","5 ROOM","408","SIN MING AVE","22 TO 24","22","120","1986","66 years 09 months","792","718000","3","1"
"2018-09","5 ROOM","405","SIN MING AVE","19 TO 21","19","120","1986","66 years 09 months","792","750000","3","1"
"2018-09","5 ROOM","453","SIN MING AVE","04 TO 06","4","125","1990","70 years 05 months","840","720000","1","1"
"2018-09","5 ROOM","22","SIN MING RD","04 TO 06","4","136","1973","54 years 01 month","648","515000","1","0"
"2018-09","EXECUTIVE","187","BISHAN ST 13","07 TO 09","7","142","1987","67 years 06 months","804","900000","2","1"
